,r0,r1,r2,r3,r4,r5,r6,r7,g0,g1,g2,g3,g4,g5,g6,g7,b0,b1,b2,b3,b4,b5,b6,b7,total_income_2_b,total_deprivations,Wealth_Index,total_deprivations_2,Poor_MPI,Severely_Poor_MPI,train,truck,car,potted plant,person
350,24516,55179,100434,220705,263089,156599,37676,63402,32034,61278,104005,212399,279598,134464,41702,56120,41181,84418,159019,372310,335298,138712,64635,33227,47000.0,0.38999999,-1.0399429,4,Poor,Non_Severely_Poor,0,0,0,0,6
351,14983,30382,43456,96175,185896,279048,36753,4507,21853,37164,64581,136194,211121,147360,65926,7001,66499,95328,281182,179252,44943,175846,74694,3856,35000.0,0.22299999,-0.96969825,2,Non_Poor,Non_Severely_Poor,0,5,1,0,20
352,3768,38748,101364,106102,123616,193079,63402,61121,8534,59610,124495,180120,140116,92987,25905,59433,76268,217476,264004,158554,72598,36445,9025,87230,65000.0,0.33500001,-3.6921461,4,Poor,Non_Severely_Poor,0,0,0,0,0
353,15949,49519,89812,127451,163311,242761,133162,99635,35851,84567,157157,175161,127439,154365,109322,77738,134348,139575,211075,301239,205195,103005,54902,79461,150000.0,0.33399999,3.4847009,3,Poor,Non_Severely_Poor,0,1,1,0,5
354,1400,27369,106882,290411,257426,76034,53317,108761,4272,35996,106893,307482,228988,93424,37522,107023,37395,149053,182931,309813,217074,155070,55892,121572,65000.0,0.38999999,-0.99975824,4,Poor,Non_Severely_Poor,0,0,1,0,8
355,27743,54896,85801,110324,178182,268931,140552,55171,41491,73656,135436,171908,134299,186480,101469,76861,134293,148036,296082,262700,145182,71742,89684,81081,65000.0,0.38999999,-0.35058263,4,Poor,Non_Severely_Poor,0,0,9,0,5
356,31136,60524,122309,118650,76166,194922,312286,5607,55640,84927,144387,70673,47000,375570,134490,8913,210556,209836,110134,306443,91429,202222,96584,1596,1000.0,0.22299999,-1.0577793,2,Non_Poor,Non_Severely_Poor,0,2,1,0,1
357,146632,86381,134336,147821,144880,107311,78987,75252,145417,98453,141607,149013,140757,96793,72948,76612,271295,181451,170136,159096,143146,180219,31231,92226,330000.0,0.38999999,-0.75990933,4,Poor,Non_Severely_Poor,0,0,0,0,2
358,5914,16501,26110,62420,95196,187611,269471,27977,15349,46378,91270,106760,216226,182503,26382,6332,37233,107122,129841,230757,231194,147313,30049,8091,57000.0,0.16699999999999998,-0.90142459,1,Non_Poor,Non_Severely_Poor,0,0,0,0,1
359,55692,89181,97664,114611,159545,43821,61628,69058,31336,106060,103674,155021,116704,50290,57587,70528,79909,128597,210588,181220,88983,112933,51469,67901,50000.0,0.22299999,2.5755208,2,Non_Poor,Non_Severely_Poor,0,0,0,0,5
360,57198,78576,88665,74313,131765,254453,127291,109339,74860,104898,90083,159865,215197,60268,124162,92267,143341,172569,232265,257061,98451,50716,160856,113541,120000.0,0.38999999,0.63807893,4,Poor,Non_Severely_Poor,0,0,0,0,8
361,58287,56581,63458,96191,90347,59045,180701,86590,83254,110427,88234,63035,52686,132924,125221,35419,191443,147490,107435,132464,125598,60382,118670,38118,0.0,0.22299999,-2.3900228,2,Non_Poor,Non_Severely_Poor,0,0,2,0,1
362,22143,76613,95069,135225,76142,230178,261269,24961,14670,100203,154751,79485,180181,228008,146898,17404,88705,220497,187365,262832,113767,134578,197894,23162,137000.0,0.22299999,-1.3313411,2,Non_Poor,Non_Severely_Poor,0,0,0,0,15
363,74246,80533,144778,97546,62926,105539,290468,65564,78155,124607,106777,119264,123095,175536,125181,68985,173876,223279,185234,223975,121630,136931,41746,122129,161500.0,0.33399999,1.7703391,3,Poor,Non_Severely_Poor,0,0,0,0,0
364,691165,35,0,0,0,0,0,0,691200,0,0,0,0,0,0,0,921600,0,0,0,0,0,0,0,360000.0,0.44599998,-1.6086663,5,Poor,Non_Severely_Poor,0,0,0,0,0
